fcd,fac,fdname,fnum,fgroup
101,GEMLTL_BETA,GEM_Beta,1,1-Risk_Indices      
102,GEMLTL_BTOP,GEM_Book-to-Price,2,1-Risk_Indices      
103,GEMLTL_DIVYILD,GEM_Dividend_Yield,3,1-Risk_Indices      
104,GEMLTL_EARNQLTY,GEM_Earnings_Quality,4,1-Risk_Indices      
105,GEMLTL_EARNVAR,GEM_Earnings_Variability,5,1-Risk_Indices      
106,GEMLTL_EARNYILD,GEM_Earnings_Yield,6,1-Risk_Indices      
107,GEMLTL_GROWTH,GEM_Growth,7,1-Risk_Indices      
108,GEMLTL_INVSQLTY,GEM_Investment_Quality,8,1-Risk_Indices      
109,GEMLTL_LEVERAGE,GEM_Leverage,9,1-Risk_Indices      
110,GEMLTL_LIQUIDTY,GEM_Liquidity,10,1-Risk_Indices      
111,GEMLTL_LTREVRSL,GEM_Long-Term_Reversal,11,1-Risk_Indices      
112,GEMLTL_MIDCAP,GEM_Mid_Capitalization,12,1-Risk_Indices      
113,GEMLTL_MOMENTUM,GEM_Momentum,13,1-Risk_Indices      
114,GEMLTL_PROFIT,GEM_Profitability,14,1-Risk_Indices      
115,GEMLTL_RESVOL,GEM_Residual_Volatility,15,1-Risk_Indices      
116,GEMLTL_SIZE,GEM_Size,16,1-Risk_Indices      
201,GEMLTL_AEROSPCE,GEM_Aerospace_and_Defense,17,2-Industries        
202,GEMLTL_AIRLINES,GEM_Airlines,18,2-Industries        
203,GEMLTL_DIVMETAL,GEM_Aluminium_and_Diversified_Metals,19,2-Industries        
204,GEMLTL_AUTOCOMP,GEM_Automobiles_and_Components,20,2-Industries        
205,GEMLTL_BANKS,GEM_Banks,21,2-Industries        
206,GEMLTL_BIOTECH,GEM_Biotechnology,22,2-Industries        
207,GEMLTL_BLDCNSTR,GEM_Building_Products_Construction_Engineering,23,2-Industries        
208,GEMLTL_CHEMICAL,GEM_Chemicals,24,2-Industries        
209,GEMLTL_COMMSVCS,GEM_Commercial_and_Professional_Services,25,2-Industries        
210,GEMLTL_COMMUNIC,GEM_Communications_Equipment,26,2-Industries        
211,GEMLTL_COMPUTER,GEM_Computers_and_Electronics,27,2-Industries        
212,GEMLTL_CONSTPP,GEM_Construction_and_Containers_and_Paper,28,2-Industries        
213,GEMLTL_CONSDUR,GEM_Consumer_Durables_and_Apparel,29,2-Industries        
214,GEMLTL_CONSVCS,GEM_Consumer_Services,30,2-Industries        
215,GEMLTL_DIVFIN,GEM_Diversified_Financials,31,2-Industries        
216,GEMLTL_ENERGY,GEM_Energy_Equipment_and_Services,32,2-Industries        
217,GEMLTL_AGROCHEM,GEM_Fertilizers_and_Agricultural_Chemicals,33,2-Industries        
218,GEMLTL_FOODPRD,GEM_Food_and_Beverage_and_Tobacco,34,2-Industries        
219,GEMLTL_FOODRETL,GEM_Food_and_Staples_Retailing,35,2-Industries        
220,GEMLTL_GOLD,GEM_Gold,36,2-Industries        
221,GEMLTL_HLTHEQP,GEM_Health_Care_Equipment_and_Suppliers,37,2-Industries        
222,GEMLTL_HLTHSVC,GEM_Health_Care_Services,38,2-Industries        
223,GEMLTL_HSHLDPRD,GEM_Household_and_Personal_Products,39,2-Industries        
224,GEMLTL_INOILGAS,GEM_Integrated_Oil_and_Gas,40,2-Industries        
225,GEMLTL_INSURNCE,GEM_Insurance,41,2-Industries        
226,GEMLTL_INTERNET,GEM_Internet_Software_and_Services,42,2-Industries        
227,GEMLTL_SOFTWARE,GEM_IT_Services_and_Software,43,2-Industries        
228,GEMLTL_MACHINRY,GEM_Machinery,44,2-Industries        
229,GEMLTL_MEDIA,GEM_Media,45,2-Industries        
230,GEMLTL_OILGAS,GEM_Oil_and_Gas_and_Consumable_Fuels,46,2-Industries        
231,GEMLTL_OILEXPL,GEM_Oil_and_Gas_Exploration_and_Production,47,2-Industries        
232,GEMLTL_PHARMA,GEM_Pharmaceuticals_and_Life_Sciences,48,2-Industries        
233,GEMLTL_PRECMETL,GEM_Precious_Metals_and_Minerals,49,2-Industries        
234,GEMLTL_REALEST,GEM_Real_Estate,50,2-Industries        
235,GEMLTL_RETAIL,GEM_Retailing,51,2-Industries        
236,GEMLTL_SEMICOND,GEM_Semiconductors,52,2-Industries        
237,GEMLTL_SMICNDEQ,GEM_Semiconductors_Equipment,53,2-Industries        
238,GEMLTL_STEEL,GEM_Steel,54,2-Industries        
239,GEMLTL_TELECOM,GEM_Telecommunication_Services,55,2-Industries        
240,GEMLTL_TRNSPORT,GEM_Transportation_Non-Airline,56,2-Industries        
241,GEMLTL_UTILITY,GEM_Utilities,57,2-Industries        
242,GEMLTL_CAPMRKTS,GEM_Capital_Markets,58,2-Industries        
243,GEMLTL_RGNLBNKS,GEM_Regional_Banks,59,2-Industries        
244,GEMLTL_THRIFTS,GEM_Thrifts_and_Mortgage_Finance,60,2-Industries        
245,GEMLTL_RLESTMNG,GEM_Real_Estate_Management,61,2-Industries        
301,GEMLTL_ARG,GEM_Argentina_Mkt,62,3-Countries         
302,GEMLTL_AUS,GEM_Australia_Mkt,63,3-Countries         
303,GEMLTL_AUT,GEM_Austria_Mkt,64,3-Countries         
304,GEMLTL_BEL,GEM_Belgium_Mkt,65,3-Countries         
305,GEMLTL_BRA,GEM_Brazil_Mkt,66,3-Countries         
306,GEMLTL_CAN,GEM_Canada_Mkt,67,3-Countries         
307,GEMLTL_CHL,GEM_Chile_Mkt,68,3-Countries         
308,GEMLTL_CHN,GEM_China_Domestic_Mkt,69,3-Countries         
309,GEMLTL_CHX,GEM_China_International_Mkt,70,3-Countries         
310,GEMLTL_DNK,GEM_Denmark_Mkt,71,3-Countries         
311,GEMLTL_FIN,GEM_Finland_Mkt,72,3-Countries         
312,GEMLTL_FRA,GEM_France_Mkt,73,3-Countries         
313,GEMLTL_DEU,GEM_Germany_Mkt,74,3-Countries         
314,GEMLTL_GRC,GEM_Greece_Mkt,75,3-Countries         
315,GEMLTL_HKG,GEM_Hong_Kong_Mkt,76,3-Countries         
316,GEMLTL_IDN,GEM_Indonesia_Mkt,77,3-Countries         
317,GEMLTL_ITA,GEM_Italy_Mkt,78,3-Countries         
318,GEMLTL_JPN,GEM_Japan_Mkt,79,3-Countries         
319,GEMLTL_JOR,GEM_Jordan_Mkt,80,3-Countries         
320,GEMLTL_MEX,GEM_Mexico_Mkt,81,3-Countries         
321,GEMLTL_NLD,GEM_Netherlands_Mkt,82,3-Countries         
322,GEMLTL_NZL,GEM_New_Zealand_Mkt,83,3-Countries         
323,GEMLTL_NOR,GEM_Norway_Mkt,84,3-Countries         
324,GEMLTL_PHL,GEM_Philippines_Mkt,85,3-Countries         
325,GEMLTL_PRT,GEM_Portugal_Mkt,86,3-Countries         
326,GEMLTL_SGP,GEM_Singapore_Mkt,87,3-Countries         
327,GEMLTL_KOR,GEM_South_Korea_Mkt,88,3-Countries         
328,GEMLTL_ESP,GEM_Spain_Mkt,89,3-Countries         
329,GEMLTL_LKA,GEM_Sri_Lanka_Mkt,90,3-Countries         
330,GEMLTL_SWE,GEM_Sweden_Mkt,91,3-Countries         
331,GEMLTL_CHE,GEM_Switzerland_Mkt,92,3-Countries         
332,GEMLTL_TWN,GEM_Taiwan_Mkt,93,3-Countries         
333,GEMLTL_THA,GEM_Thailand_Mkt,94,3-Countries         
334,GEMLTL_TUR,GEM_Turkey_Mkt,95,3-Countries         
335,GEMLTL_GBR,GEM_United_Kingdom_Mkt,96,3-Countries         
336,GEMLTL_USA,GEM_United_States_Mkt,97,3-Countries         
337,GEMLTL_PAK,GEM_Pakistan_Mkt,98,3-Countries         
338,GEMLTL_COL,GEM_Colombia_Mkt,99,3-Countries         
339,GEMLTL_IND,GEM_India_Mkt,100,3-Countries         
340,GEMLTL_ISR,GEM_Israel_Mkt,101,3-Countries         
341,GEMLTL_POL,GEM_Poland_Mkt,102,3-Countries         
342,GEMLTL_ZAF,GEM_South_Africa_Mkt,103,3-Countries         
343,GEMLTL_IRL,GEM_Ireland_Mkt,104,3-Countries         
344,GEMLTL_MYS,GEM_Malaysia_Mkt,105,3-Countries         
345,GEMLTL_HUN,GEM_Hungary_Mkt,106,3-Countries         
346,GEMLTL_CZE,GEM_Czech_Republic_Mkt,107,3-Countries         
347,GEMLTL_EGY,GEM_Egypt_Mkt,108,3-Countries         
348,GEMLTL_RUS,GEM_Russia_Mkt,109,3-Countries         
349,GEMLTL_MAR,GEM_Morocco_Mkt,110,3-Countries         
350,GEMLTL_PER,GEM_Peru_Mkt,111,3-Countries         
351,GEMLTL_SVN,GEM_Slovenia_Mkt,112,3-Countries         
352,GEMLTL_NGA,GEM_Nigeria_Mkt,113,3-Countries         
353,GEMLTL_BHR,GEM_Bahrain_Mkt,114,3-Countries         
354,GEMLTL_KWT,GEM_Kuwait_Mkt,115,3-Countries         
355,GEMLTL_OMN,GEM_Oman_Mkt,116,3-Countries         
356,GEMLTL_QAT,GEM_Qatar_Mkt,117,3-Countries         
357,GEMLTL_SAU,GEM_Saudi_Arabia_Mkt,118,3-Countries         
358,GEMLTL_ARE,GEM_United_Arab_Emirates_Mkt,119,3-Countries         
359,GEMLTL_ISL,GEM_Iceland_Mkt,120,3-Countries         
360,GEMLTL_HRV,GEM_Croatia_Mkt,121,3-Countries         
361,GEMLTL_LVA,GEM_Latvia_Mkt,122,3-Countries         
362,GEMLTL_LTU,GEM_Lithuania_Mkt,123,3-Countries         
363,GEMLTL_ROU,GEM_Romania_Mkt,124,3-Countries         
364,GEMLTL_EST,GEM_Estonia_Mkt,125,3-Countries         
365,GEMLTL_SVK,GEM_Slovakia_Mkt,126,3-Countries         
366,GEMLTL_CYP,GEM_Cyprus_Mkt,127,3-Countries         
367,GEMLTL_KEN,GEM_Kenya_Mkt,128,3-Countries         
368,GEMLTL_LBN,GEM_Lebanon_Mkt,129,3-Countries         
369,GEMLTL_MUS,GEM_Mauritius_Mkt,130,3-Countries         
370,GEMLTL_TUN,GEM_Tunisia_Mkt,131,3-Countries         
371,GEMLTL_BGR,GEM_Bulgaria_Mkt,132,3-Countries         
372,GEMLTL_KAZ,GEM_Kazakhstan_Mkt,133,3-Countries         
373,GEMLTL_UKR,GEM_Ukraine_Mkt,134,3-Countries         
374,GEMLTL_VNM,GEM_Vietnam_Mkt,135,3-Countries         
375,GEMLTL_TTO,GEM_Trinidad_and_Tobago_Mkt,136,3-Countries         
376,GEMLTL_CIV,GEM_Ivory_Coast_Mkt,137,3-Countries         
377,GEMLTL_JAM,GEM_Jamaica_Mkt,138,3-Countries         
378,GEMLTL_MKD,GEM_Macedonia_Mkt,139,3-Countries         
379,GEMLTL_MLT,GEM_Malta_Mkt,140,3-Countries         
380,GEMLTL_BWA,GEM_Botswana_Mkt,141,3-Countries         
381,GEMLTL_SRB,GEM_Serbia_Mkt,142,3-Countries         
382,GEMLTL_BGD,GEM_Bangladesh_Mkt,143,3-Countries         
383,GEMLTL_MNE,GEM_Montenegro_Mkt,144,3-Countries         
384,GEMLTL_GHA,GEM_Ghana_Mkt,145,3-Countries         
385,GEMLTL_BIH,GEM_Bosnia_and_Herzegovina_Mkt,146,3-Countries         
386,GEMLTL_ZMB,GEM_Zambia_Mkt,147,3-Countries         
387,GEMLTL_NAM,GEM_Namibia_Mkt,148,3-Countries         
388,GEMLTL_PSE,GEM_Palestine_Mkt,149,3-Countries         
401,GEMLTL_ARGC,GEM_Argentina,150,4-Currencies        
402,GEMLTL_AUSC,GEM_Australia,151,4-Currencies        
403,GEMLTL_AUTC,GEM_Austria,152,4-Currencies        
404,GEMLTL_BELC,GEM_Belgium,153,4-Currencies        
405,GEMLTL_BRAC,GEM_Brazil,154,4-Currencies        
406,GEMLTL_CANC,GEM_Canada,155,4-Currencies        
407,GEMLTL_CHLC,GEM_Chile,156,4-Currencies        
408,GEMLTL_CHNC,GEM_China_Domestic,157,4-Currencies        
409,GEMLTL_DNKC,GEM_Denmark,158,4-Currencies        
410,GEMLTL_FINC,GEM_Finland,159,4-Currencies        
411,GEMLTL_FRAC,GEM_France,160,4-Currencies        
412,GEMLTL_DEUC,GEM_Germany,161,4-Currencies        
413,GEMLTL_GRCC,GEM_Greece,162,4-Currencies        
414,GEMLTL_HKGC,GEM_Hong_Kong,163,4-Currencies        
415,GEMLTL_IDNC,GEM_Indonesia,164,4-Currencies        
416,GEMLTL_ITAC,GEM_Italy,165,4-Currencies        
417,GEMLTL_JPNC,GEM_Japan,166,4-Currencies        
418,GEMLTL_JORC,GEM_Jordan,167,4-Currencies        
419,GEMLTL_MEXC,GEM_Mexico,168,4-Currencies        
420,GEMLTL_NLDC,GEM_Netherlands,169,4-Currencies        
