factor_id,group_id,factor_name,factor_name_jp,frequency,data_type,area_data_method,lag_type,lag_days,definition,from_dateymd,to_dateymd,created_at,updated_at,create_update_user
1,5,overall_rating,全体評価(平均値),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).overall_rating



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:23:53,
2,4,culture_and_values,文化・価値の動向(平均値),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).culture_and_values



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:26:57,
3,4,work_life,仕事・生活のバランス(平均値),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).work_life



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:26:28,
4,3,senior_management,シニアマネジメント(平均値),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).senior_management



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:26:51,
5,4,comp_and_benefits,報酬・給付(平均値),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).comp_and_benefits



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:27:16,
6,4,career_opportunities,就業機会(平均値),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).career_opportunities



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:27:51,
7,4,recommend,紹介(％),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).recommend



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:28:14,
8,3,ceo_rating,CEO承認(％),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).ceo_rating



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-03-26 09:28:34,
9,3,biz_outlook,ビジネス展望(％),M,Z,auto,2,5,"**<u>データソース</u>**

・Web : sc_production(g***_review).biz_outlook



**<u>更新タイミング</u>**

第3営業日　翌日　04:30



**<u>計算方法</u>**

1. 計算時点から過去3ヵ月のデータを取得。
2. 各銘柄の直近値を取得。

3. MSCI ACWI 構成銘柄に絞り込む。
4. 各CountryでZスコアを計算。",20160430,99991231,2019-02-01 19:16:00,2019-05-20 05:46:09,
10,4,good_workplace_wgp,働きがいのある会社企業_WGP,T,only 1,auto,2,1,"**<u>データソース</u>**

・Web : sc_production(good_work***)



**<u>更新タイミング</u>**

2月中旬(japan）/ 10月中旬(world)



**<u>計算方法</u>**

1. 計算時点（過去は、2月末日と10月末日。）でaward_region の値が、'JPN'と'WORLD'のそれぞれで取得できる直近award_yearのデータを取得。

　　過去は、以下のように処理。

​	A. 2017年2月28日の場合は、 JPNは2018。WORLDは2017の値を取得。

​	B. 2017年10月31日の場合は、 JPNは2018。WORLDは2018の値を取得。

2. codeに値がある銘柄（上場企業）にFlag 1 を付与。",20160215,99991231,2019-03-26 09:59:42,2019-07-03 03:29:01,
11,8,controversy_score_ms,コントラバーシー_MS,M,score,auto,2,0,"**<u>データソース</u>**

・Web : sc_production(\*\*\*_esg_controversies)



**<u>更新タイミング</u>**

月末最終日　12:00



**<u>計算方法</u>**

1. 計算日付の直近get_dateymdデータを取得。

2. score を下記の指揮で求める。

   score =  (controversy_score　- 10）/ 10  ",20180430,99991231,2019-03-27 01:13:23,2019-07-03 03:29:21,
12,8,environment_controversy_score_ms,環境コントラバーシー_MS,M,score,auto,2,0,"**<u>データソース</u>**

・Web : sc_production(\*\*\*_esg_controversies)



**<u>更新タイミング</u>**

月末最終日　12:00



**<u>計算方法</u>**

1. 計算日付の直近get_dateymdデータを取得。

2. score を下記の指揮で求める。

   score =  (environment_controversy_score - 10）/ 10  ",20180430,99991231,2019-03-27 01:13:23,2019-07-03 03:29:21,
