yyyymm,currency,rate
197001,INR,7.547
197002,INR,7.536022
197003,INR,7.536022
197004,INR,7.536022
197005,INR,7.547
197006,INR,7.564011
197007,INR,7.587023
197008,INR,7.605025
197009,INR,7.593014
197010,INR,7.587023
197011,INR,7.587023
197012,INR,7.575988
197101,INR,7.501988
197102,INR,7.508015
197103,INR,7.501988
197104,INR,7.496027
197105,INR,7.496027
197106,INR,7.501988
197107,INR,7.501988
197108,INR,7.593014
197109,INR,7.558979
197110,INR,7.558979
197111,INR,7.558979
197112,INR,7.278974
197201,INR,7.278974
197202,INR,7.278974
197203,INR,7.278974
197204,INR,7.278974
197205,INR,7.278974
197206,INR,7.766025
197207,INR,7.741975
197208,INR,7.747014
197209,INR,7.7332
197210,INR,8.0078
197211,INR,7.9551
197212,INR,8.0118
197301,INR,7.899
197302,INR,7.5744
197303,INR,7.5835
197304,INR,7.5607
197305,INR,7.3279
197306,INR,7.2444
197307,INR,7.4612
197308,INR,7.6229
197309,INR,7.753
197310,INR,7.6733
197311,INR,7.988
197312,INR,8.0335
197401,INR,8.1779
197402,INR,8.1008
197403,INR,7.792
197404,INR,7.6991
197405,INR,7.8164
197406,INR,7.8491
197407,INR,7.8252
197408,INR,8.0828
197409,INR,8.0308
197410,INR,8.0246
197411,INR,8.0533
197412,INR,7.971
197501,INR,7.8722
197502,INR,7.7102
197503,INR,7.8033
197504,INR,7.9541
197505,INR,8.1055
197506,INR,8.3905
197507,INR,8.6293
197508,INR,8.7818
197509,INR,8.9297
197510,INR,8.7805
197511,INR,9.0416
197512,INR,8.9314
197601,INR,8.8993
197602,INR,8.9098
197603,INR,8.9702
197604,INR,8.916
197605,INR,9.339
197606,INR,8.9443
197607,INR,8.9418
197608,INR,8.9846
197609,INR,9.1205
197610,INR,9.6425
197611,INR,8.8495
197612,INR,8.8901
197701,INR,8.8247
197702,INR,8.832
197703,INR,8.797
197704,INR,8.8016
197705,INR,8.8032
197706,INR,8.7965
197707,INR,8.7044
197708,INR,8.6849
197709,INR,8.67
197710,INR,8.218
197711,INR,8.6283
197712,INR,8.1432
197801,INR,8.0276
197802,INR,8.0969
197803,INR,8.4269
197804,INR,8.5683
197805,INR,8.3719
197806,INR,8.2217
197807,INR,8.012
197808,INR,8.0653
197809,INR,7.9463
197810,INR,7.7942
197811,INR,8.2623
197812,INR,8.0466
197901,INR,8.2424
197902,INR,8.121
197903,INR,8.0857
197904,INR,8.2708
197905,INR,8.1184
197906,INR,7.9691
197907,INR,7.9297
197908,INR,7.9568
197909,INR,8.0608
197910,INR,8.2547
197911,INR,7.9436
197912,INR,8.004
198001,INR,7.9785
198002,INR,8.03
198003,INR,8.2368
198004,INR,8.0155
198005,INR,7.8339
198006,INR,7.785
198007,INR,7.8084
198008,INR,7.7559
198009,INR,7.7715
198010,INR,7.7204
198011,INR,7.8423
198012,INR,7.846
198101,INR,8.0972
198102,INR,8.3499
198103,INR,8.2505
198104,INR,8.2896
198105,INR,8.4428
198106,INR,8.7328
198107,INR,9.0205
198108,INR,8.9542
198109,INR,9.0748
198110,INR,9.0359
198111,INR,9.1504
198112,INR,9.0581
198201,INR,9.1346
198202,INR,9.2893
198203,INR,9.3217
198204,INR,9.3135
198205,INR,9.3945
198206,INR,9.4647
198207,INR,9.5339
198208,INR,9.6028
198209,INR,9.6904
198210,INR,9.7355
198211,INR,9.6394
198212,INR,9.66
198301,INR,9.9757
198302,INR,9.9859
198303,INR,9.9203
198304,INR,9.9972
198305,INR,10.004
198306,INR,10.0137
