month_end,fiscal_year,stcg_base,ltcg_base,cess,stcg_incl_cess,ltcg_incl_cess,holding_period_months,regime,mid_month_change,surcharge_foreign_co,surcharge_noncorp,stcg_eff_foreign_co,ltcg_eff_foreign_co,stcg_eff_noncorp,ltcg_eff_noncorp
1993-04-30,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-05-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-06-30,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-07-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-08-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-09-30,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-10-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-11-30,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1993-12-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-01-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-02-28,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-03-31,FY1993-94,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-04-30,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-05-31,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-06-30,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-07-31,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-08-31,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-09-30,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-10-31,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
1994-11-30,FY1994-95,0.3,0.1,0.0,0.3,0.1,12,FII pre-STT (s.115AD),False,,,,,,
