id,symbol,name,description,group,group_alt_1,group_alt_2
101,BETA,Beta,GEMLTL_BETA (fnum=1),Risk Indices,,
102,BTOP,Book-to-Price,GEMLTL_BTOP (fnum=2),Risk Indices,,
103,DIVYILD,Dividend Yield,GEMLTL_DIVYILD (fnum=3),Risk Indices,,
104,EARNQLTY,Earnings Quality,GEMLTL_EARNQLTY (fnum=4),Risk Indices,,
105,EARNVAR,Earnings Variability,GEMLTL_EARNVAR (fnum=5),Risk Indices,,
106,EARNYILD,Earnings Yield,GEMLTL_EARNYILD (fnum=6),Risk Indices,,
107,GROWTH,Growth,GEMLTL_GROWTH (fnum=7),Risk Indices,,
108,INVSQLTY,Investment Quality,GEMLTL_INVSQLTY (fnum=8),Risk Indices,,
109,LEVERAGE,Leverage,GEMLTL_LEVERAGE (fnum=9),Risk Indices,,
110,LIQUIDTY,Liquidity,GEMLTL_LIQUIDTY (fnum=10),Risk Indices,,
111,LTREVRSL,Long-Term Reversal,GEMLTL_LTREVRSL (fnum=11),Risk Indices,,
112,MIDCAP,Mid Capitalization,GEMLTL_MIDCAP (fnum=12),Risk Indices,,
113,MOMENTUM,Momentum,GEMLTL_MOMENTUM (fnum=13),Risk Indices,,
114,PROFIT,Profitability,GEMLTL_PROFIT (fnum=14),Risk Indices,,
115,RESVOL,Residual Volatility,GEMLTL_RESVOL (fnum=15),Risk Indices,,
116,SIZE,Size,GEMLTL_SIZE (fnum=16),Risk Indices,,
201,AEROSPCE,Aerospace and Defense,GEMLTL_AEROSPCE (fnum=17),Industries,,
202,AIRLINES,Airlines,GEMLTL_AIRLINES (fnum=18),Industries,,
203,DIVMETAL,Aluminium and Diversified Metals,GEMLTL_DIVMETAL (fnum=19),Industries,,
204,AUTOCOMP,Automobiles and Components,GEMLTL_AUTOCOMP (fnum=20),Industries,,
205,BANKS,Banks,GEMLTL_BANKS (fnum=21),Industries,,
206,BIOTECH,Biotechnology,GEMLTL_BIOTECH (fnum=22),Industries,,
207,BLDCNSTR,Building Products Construction Engineering,GEMLTL_BLDCNSTR (fnum=23),Industries,,
208,CHEMICAL,Chemicals,GEMLTL_CHEMICAL (fnum=24),Industries,,
209,COMMSVCS,Commercial and Professional Services,GEMLTL_COMMSVCS (fnum=25),Industries,,
210,COMMUNIC,Communications Equipment,GEMLTL_COMMUNIC (fnum=26),Industries,,
211,COMPUTER,Computers and Electronics,GEMLTL_COMPUTER (fnum=27),Industries,,
212,CONSTPP,Construction and Containers and Paper,GEMLTL_CONSTPP (fnum=28),Industries,,
213,CONSDUR,Consumer Durables and Apparel,GEMLTL_CONSDUR (fnum=29),Industries,,
214,CONSVCS,Consumer Services,GEMLTL_CONSVCS (fnum=30),Industries,,
215,DIVFIN,Diversified Financials,GEMLTL_DIVFIN (fnum=31),Industries,,
216,ENERGY,Energy Equipment and Services,GEMLTL_ENERGY (fnum=32),Industries,,
217,AGROCHEM,Fertilizers and Agricultural Chemicals,GEMLTL_AGROCHEM (fnum=33),Industries,,
218,FOODPRD,Food and Beverage and Tobacco,GEMLTL_FOODPRD (fnum=34),Industries,,
219,FOODRETL,Food and Staples Retailing,GEMLTL_FOODRETL (fnum=35),Industries,,
220,GOLD,Gold,GEMLTL_GOLD (fnum=36),Industries,,
221,HLTHEQP,Health Care Equipment and Suppliers,GEMLTL_HLTHEQP (fnum=37),Industries,,
222,HLTHSVC,Health Care Services,GEMLTL_HLTHSVC (fnum=38),Industries,,
223,HSHLDPRD,Household and Personal Products,GEMLTL_HSHLDPRD (fnum=39),Industries,,
224,INOILGAS,Integrated Oil and Gas,GEMLTL_INOILGAS (fnum=40),Industries,,
225,INSURNCE,Insurance,GEMLTL_INSURNCE (fnum=41),Industries,,
226,INTERNET,Internet Software and Services,GEMLTL_INTERNET (fnum=42),Industries,,
227,SOFTWARE,IT Services and Software,GEMLTL_SOFTWARE (fnum=43),Industries,,
228,MACHINRY,Machinery,GEMLTL_MACHINRY (fnum=44),Industries,,
229,MEDIA,Media,GEMLTL_MEDIA (fnum=45),Industries,,
230,OILGAS,Oil and Gas and Consumable Fuels,GEMLTL_OILGAS (fnum=46),Industries,,
231,OILEXPL,Oil and Gas Exploration and Production,GEMLTL_OILEXPL (fnum=47),Industries,,
232,PHARMA,Pharmaceuticals and Life Sciences,GEMLTL_PHARMA (fnum=48),Industries,,
233,PRECMETL,Precious Metals and Minerals,GEMLTL_PRECMETL (fnum=49),Industries,,
234,REALEST,Real Estate,GEMLTL_REALEST (fnum=50),Industries,,
235,RETAIL,Retailing,GEMLTL_RETAIL (fnum=51),Industries,,
236,SEMICOND,Semiconductors,GEMLTL_SEMICOND (fnum=52),Industries,,
237,SMICNDEQ,Semiconductors Equipment,GEMLTL_SMICNDEQ (fnum=53),Industries,,
238,STEEL,Steel,GEMLTL_STEEL (fnum=54),Industries,,
239,TELECOM,Telecommunication Services,GEMLTL_TELECOM (fnum=55),Industries,,
240,TRNSPORT,Transportation Non-Airline,GEMLTL_TRNSPORT (fnum=56),Industries,,
241,UTILITY,Utilities,GEMLTL_UTILITY (fnum=57),Industries,,
242,CAPMRKTS,Capital Markets,GEMLTL_CAPMRKTS (fnum=58),Industries,,
243,RGNLBNKS,Regional Banks,GEMLTL_RGNLBNKS (fnum=59),Industries,,
244,THRIFTS,Thrifts and Mortgage Finance,GEMLTL_THRIFTS (fnum=60),Industries,,
245,RLESTMNG,Real Estate Management,GEMLTL_RLESTMNG (fnum=61),Industries,,
301,ARG,Argentina Mkt,GEMLTL_ARG (fnum=62),Countries,,
302,AUS,Australia Mkt,GEMLTL_AUS (fnum=63),Countries,,
303,AUT,Austria Mkt,GEMLTL_AUT (fnum=64),Countries,,
304,BEL,Belgium Mkt,GEMLTL_BEL (fnum=65),Countries,,
305,BRA,Brazil Mkt,GEMLTL_BRA (fnum=66),Countries,,
306,CAN,Canada Mkt,GEMLTL_CAN (fnum=67),Countries,,
307,CHL,Chile Mkt,GEMLTL_CHL (fnum=68),Countries,,
308,CHN,China Domestic Mkt,GEMLTL_CHN (fnum=69),Countries,,
309,CHX,China International Mkt,GEMLTL_CHX (fnum=70),Countries,,
310,DNK,Denmark Mkt,GEMLTL_DNK (fnum=71),Countries,,
311,FIN,Finland Mkt,GEMLTL_FIN (fnum=72),Countries,,
312,FRA,France Mkt,GEMLTL_FRA (fnum=73),Countries,,
313,DEU,Germany Mkt,GEMLTL_DEU (fnum=74),Countries,,
314,GRC,Greece Mkt,GEMLTL_GRC (fnum=75),Countries,,
315,HKG,Hong Kong Mkt,GEMLTL_HKG (fnum=76),Countries,,
316,IDN,Indonesia Mkt,GEMLTL_IDN (fnum=77),Countries,,
317,ITA,Italy Mkt,GEMLTL_ITA (fnum=78),Countries,,
318,JPN,Japan Mkt,GEMLTL_JPN (fnum=79),Countries,,
319,JOR,Jordan Mkt,GEMLTL_JOR (fnum=80),Countries,,
320,MEX,Mexico Mkt,GEMLTL_MEX (fnum=81),Countries,,
321,NLD,Netherlands Mkt,GEMLTL_NLD (fnum=82),Countries,,
322,NZL,New Zealand Mkt,GEMLTL_NZL (fnum=83),Countries,,
323,NOR,Norway Mkt,GEMLTL_NOR (fnum=84),Countries,,
